Accession,Description,_Coverage,_# Proteins,_# Unique Peptides,_# Peptides,_# PSMs,128_C/127_N,128_C/127_N Count,128_C/127_N Variability [%],128_N/126,128_N/126 Count,128_N/126 Variability [%],129_N/127_C,129_N/127_C Count,129_N/127_C Variability [%],"Score A(4,11)","Coverage A(4,11)","# Peptides A(4,11)","# PSM A(4,11)","Score A(7,9,12,14)","Coverage A(7,9,12,14)","# Peptides A(7,9,12,14)","# PSM A(7,9,12,14)","Score B(3,6,11,13,17,18)","Coverage B(3,6,11,13,17,18)","# Peptides B(3,6,11,13,17,18)","# PSM B(3,6,11,13,17,18)","Score B(8,10,15)","Coverage B(8,10,15)","# Peptides B(8,10,15)","# PSM B(8,10,15)",# AAs,MW [kDa],calc. pI
Q9Y6G5,COMM domain-containing protein 10 OS=Homo sapiens GN=COMMD10 PE=1 SV=1 - [COMDA_HUMAN],48.51,1,9,9,23,1.126,-;10,,1.208,-;10,,1.166,-;10,,,,,,,,,,31.16 ,48.51,9,10,199.79 ,48.51,9,13,202,23.0,6.54
Q2PZI1,Probable C-mannosyltransferase DPY19L1 OS=Homo sapiens GN=DPY19L1 PE=2 SV=1 - [D19L1_HUMAN],18.81,2,8,8,22,1.126,1;9,13.5,1.202,1;9,6.5,1.069,1;9,4.7,53.88 ,5.78,2,2,11.49 ,5.78,3,3,22.53 ,18.81,8,8,131.46 ,18.81,9,9,675,77.3,8.95
Q49AM3,Tetratricopeptide repeat protein 31 OS=Homo sapiens GN=TTC31 PE=2 SV=3 - [TTC31_HUMAN],6.55,1,3,3,6,1.126,-;3,,1.074,-;3,,1.199,-;3,,,,,,,,,,6.20 ,6.55,4,4,56.61 ,4.24,2,2,519,57.1,8.22
O76064,E3 ubiquitin-protein ligase RNF8 OS=Homo sapiens GN=RNF8 PE=1 SV=1 - [RNF8_HUMAN],1.65,1,1,1,1,1.126,-;1,,1.097,-;1,,1.209,-;1,,,,,,,,,,2.38 ,1.65,1,1,,,,,485,55.5,7.33
Q9H000,Probable E3 ubiquitin-protein ligase makorin-2 OS=Homo sapiens GN=MKRN2 PE=1 SV=2 - [MKRN2_HUMAN],36.78,1,12,12,33,1.126,-;16,,1.153,-;15,,1.106,-;15,,,,,,,,,,31.56 ,34.86,12,17,171.65 ,27.16,11,16,416,46.9,7.61
P61224,Ras-related protein Rap-1b OS=Homo sapiens GN=RAP1B PE=1 SV=1 - [RAP1B_HUMAN],67.93,2,6,13,137,1.126,4;32,3.3,1.121,3;30,8.1,1.113,4;32,13.8,175.88 ,22.83,4,7,35.39 ,22.83,5,8,160.84 ,67.93,16,66,883.04 ,66.85,13,56,184,20.8,5.78
Q8N5W9,Protein FAM101B OS=Homo sapiens GN=FAM101B PE=1 SV=1 - [F101B_HUMAN],11.68,1,2,2,4,1.126,-;2,,1.165,-;2,,1.071,-;2,,,,,,,,,,2.06 ,11.68,2,2,78.57 ,11.68,2,2,214,22.9,5.44
Q96F24,Nuclear receptor-binding factor 2 OS=Homo sapiens GN=NRBF2 PE=1 SV=1 - [NRBF2_HUMAN],46.69,1,8,8,31,1.126,-;15,,1.287,-;15,,1.166,-;15,,,,,,,,,,45.77 ,46.69,9,18,172.95 ,35.19,7,13,287,32.4,5.87
Q6RW13,Type-1 angiotensin II receptor-associated protein OS=Homo sapiens GN=AGTRAP PE=1 SV=1 - [ATRAP_HUMAN],29.56,1,3,3,9,1.126,1;3,3.7,0.896,1;3,1.8,1.009,1;3,20.4,0.00 ,5.03,1,1,5.08 ,5.03,2,2,13.19 ,24.53,3,3,122.18 ,24.53,2,3,159,17.4,6.14
Q9HA92,"Radical S-adenosyl methionine domain-containing protein 1, mitochondrial OS=Homo sapiens GN=RSAD1 PE=2 SV=2 - [RSAD1_HUMAN]",15.16,1,5,5,10,1.126,-;5,,0.909,-;5,,1.048,-;5,,,,,,,,,,12.98 ,15.16,5,5,78.89 ,15.16,5,5,442,48.7,7.78
Q13268,"Dehydrogenase/reductase SDR family member 2, mitochondrial OS=Homo sapiens GN=DHRS2 PE=1 SV=4 - [DHRS2_HUMAN]",3.57,1,1,1,2,1.126,-;1,,1.196,-;1,,1.246,-;1,,,,,,,,,,2.84 ,3.57,1,1,47.43 ,3.57,1,1,280,29.9,9.01
Q15056,Eukaryotic translation initiation factor 4H OS=Homo sapiens GN=EIF4H PE=1 SV=5 - [IF4H_HUMAN],54.44,1,11,11,142,1.126,13;51,2.1,1.117,13;51,4.0,1.121,13;51,0.4,392.66 ,35.08,12,19,83.21 ,37.50,14,24,99.05 ,39.52,10,51,505.31 ,34.68,6,48,248,27.4,7.23
O75962,Triple functional domain protein OS=Homo sapiens GN=TRIO PE=1 SV=2 - [TRIO_HUMAN],34.13,1,69,76,243,1.125,4;94,17.9,1.154,5;94,16.2,1.096,5;95,10.8,488.63 ,5.49,11,14,68.23 ,5.49,15,18,293.20 ,33.10,78,105,1601.74 ,32.00,76,106,3097,346.7,6.37
Q7Z7N9,Transmembrane protein 179B OS=Homo sapiens GN=TMEM179B PE=1 SV=1 - [T179B_HUMAN],12.33,1,2,2,4,1.125,-;1,,0.791,-;1,,0.750,-;1,,,,,,4.90 ,5.02,2,2,2.91 ,7.31,1,1,90.69 ,7.31,1,1,219,23.5,7.85
Q9Y5U9,Immediate early response 3-interacting protein 1 OS=Homo sapiens GN=IER3IP1 PE=1 SV=1 - [IR3IP_HUMAN],24.39,1,1,1,12,1.125,2;3,14.8,0.973,2;3,0.1,1.073,2;3,18.2,183.80 ,24.39,2,3,16.53 ,24.39,2,3,8.79 ,24.39,1,3,109.98 ,24.39,1,3,82,9.0,8.22
Q96RS0,Trimethylguanosine synthase OS=Homo sapiens GN=TGS1 PE=1 SV=3 - [TGS1_HUMAN],19.34,1,9,9,20,1.125,1;9,11.5,0.950,1;9,6.8,0.940,1;9,4.5,71.49 ,2.81,1,1,7.93 ,2.81,1,1,28.22 ,19.34,10,10,132.16 ,15.12,8,8,853,96.6,4.94
O94967,WD repeat-containing protein 47 OS=Homo sapiens GN=WDR47 PE=1 SV=1 - [WDR47_HUMAN],24.70,1,14,14,31,1.125,-;15,,1.121,-;15,,0.997,-;15,,,,,,,,,,35.33 ,22.09,12,17,196.90 ,20.78,12,14,919,101.9,5.94
Q9H8M1,"Coenzyme Q-binding protein COQ10 homolog B, mitochondrial OS=Homo sapiens GN=COQ10B PE=2 SV=1 - [CQ10B_HUMAN]",12.61,2,3,3,8,1.125,-;4,,0.933,-;4,,0.953,-;4,,,,,,,,,,10.34 ,12.61,3,4,43.12 ,12.61,3,4,238,27.1,9.60
Q6P5Z2,Serine/threonine-protein kinase N3 OS=Homo sapiens GN=PKN3 PE=1 SV=1 - [PKN3_HUMAN],21.37,1,12,13,31,1.125,-;14,,1.255,-;14,,1.185,-;14,,,,,,,,,,38.49 ,21.37,13,16,165.25 ,18.79,12,15,889,99.4,8.46
Q3B7T1,Erythroid differentiation-related factor 1 OS=Homo sapiens GN=EDRF1 PE=1 SV=1 - [EDRF1_HUMAN],14.30,1,14,14,24,1.125,-;12,,1.064,-;12,,1.064,-;12,,,,,,,,,,26.23 ,13.65,13,13,180.55 ,10.66,11,11,1238,138.4,6.33
Q8NCE0,tRNA-splicing endonuclease subunit Sen2 OS=Homo sapiens GN=TSEN2 PE=2 SV=2 - [SEN2_HUMAN],9.25,1,4,4,8,1.125,-;4,,0.935,-;4,,0.874,-;4,,,,,,,,,,11.30 ,9.25,5,5,60.77 ,6.45,3,3,465,53.2,7.85
Q9HBD1,Roquin-2 OS=Homo sapiens GN=RC3H2 PE=1 SV=2 - [RC3H2_HUMAN],5.54,1,4,6,11,1.125,-;4,,1.173,-;4,,1.242,-;4,,,,,,,,,,16.13 ,5.54,6,6,169.20 ,5.46,5,5,1191,131.6,6.89
Q96C12,Armadillo repeat-containing protein 5 OS=Homo sapiens GN=ARMC5 PE=1 SV=2 - [ARMC5_HUMAN],4.71,1,3,3,5,1.125,-;3,,1.005,-;3,,0.938,-;3,,,,,,,,,,6.52 ,4.71,3,3,34.60 ,3.32,2,2,935,97.6,7.11
Q92562,Polyphosphoinositide phosphatase OS=Homo sapiens GN=FIG4 PE=1 SV=1 - [FIG4_HUMAN],8.71,1,4,5,8,1.124,-;4,,1.028,-;4,,1.049,-;4,,,,,,,,,,12.44 ,8.71,5,5,41.04 ,6.17,3,3,907,103.6,6.92
P34896,"Serine hydroxymethyltransferase, cytosolic OS=Homo sapiens GN=SHMT1 PE=1 SV=1 - [GLYC_HUMAN]",44.93,1,15,17,57,1.124,2;19,1.3,1.339,3;19,4.5,1.209,2;19,11.9,157.95 ,11.18,4,4,25.04 ,11.18,6,6,72.21 ,43.48,17,24,493.90 ,43.48,16,23,483,53.0,7.71
Q01804,OTU domain-containing protein 4 OS=Homo sapiens GN=OTUD4 PE=1 SV=4 - [OTUD4_HUMAN],32.32,1,26,26,88,1.124,4;37,5.4,1.103,4;37,4.0,1.054,4;37,4.0,60.87 ,4.40,4,4,13.77 ,3.86,5,6,89.89 ,28.55,25,41,369.08 ,29.26,23,37,1114,124.0,6.71
Q9UBQ7,Glyoxylate reductase/hydroxypyruvate reductase OS=Homo sapiens GN=GRHPR PE=1 SV=1 - [GRHPR_HUMAN],49.39,1,12,12,69,1.124,9;20,7.0,1.241,9;20,2.1,1.151,9;20,2.1,346.00 ,22.87,10,14,67.21 ,22.87,12,17,68.03 ,41.46,12,19,540.07 ,49.09,12,19,328,35.6,7.39
P78382,CMP-sialic acid transporter OS=Homo sapiens GN=SLC35A1 PE=2 SV=1 - [S35A1_HUMAN],4.45,1,2,2,4,1.124,-;2,,1.335,-;2,,1.289,-;2,,,,,,,,,,5.14 ,4.45,2,2,30.04 ,4.45,2,2,337,36.8,8.95
Q99549,M-phase phosphoprotein 8 OS=Homo sapiens GN=MPHOSPH8 PE=1 SV=2 - [MPP8_HUMAN],30.00,1,20,20,62,1.124,2;23,8.1,1.109,2;23,11.6,1.148,2;24,9.4,72.56 ,2.79,2,2,4.22 ,1.98,1,1,54.46 ,27.33,19,29,174.52 ,29.19,19,30,860,97.1,6.06
Q9NQW7,Xaa-Pro aminopeptidase 1 OS=Homo sapiens GN=XPNPEP1 PE=1 SV=3 - [XPP1_HUMAN],56.34,1,23,24,139,1.124,8;55,1.8,1.221,7;52,17.5,1.133,7;54,6.8,354.08 ,19.90,12,14,60.78 ,18.94,11,14,156.46 ,55.22,24,56,769.97 ,53.77,22,55,623,69.9,5.67
Q13433,Zinc transporter ZIP6 OS=Homo sapiens GN=SLC39A6 PE=1 SV=3 - [S39A6_HUMAN],16.03,1,7,7,14,1.124,-;8,,1.382,-;8,,1.263,-;8,,,,,,,,,,26.20 ,16.03,8,9,71.41 ,13.77,5,5,755,85.0,6.95
Q96DP5,"Methionyl-tRNA formyltransferase, mitochondrial OS=Homo sapiens GN=MTFMT PE=1 SV=2 - [FMT_HUMAN]",14.65,1,5,5,11,1.124,-;6,,1.260,-;6,,1.398,-;6,,,,,,,,,,15.24 ,14.65,5,6,139.71 ,12.34,4,5,389,43.8,9.66
P13686,Tartrate-resistant acid phosphatase type 5 OS=Homo sapiens GN=ACP5 PE=1 SV=3 - [PPA5_HUMAN],21.23,1,4,4,17,1.123,2;5,13.5,1.007,2;5,1.8,1.167,2;5,3.3,106.07 ,7.38,3,3,15.74 ,7.38,4,4,19.93 ,21.23,4,5,150.32 ,21.23,4,5,325,36.6,8.70
Q00341,Vigilin OS=Homo sapiens GN=HDLBP PE=1 SV=2 - [VIGLN_HUMAN],62.78,3,78,79,804,1.123,48;252,1.2,1.136,47;249,5.0,1.134,50;253,4.5,1894.67 ,44.56,79,129,487.68 ,43.85,82,139,609.77 ,59.23,90,275,3544.22 ,57.02,76,261,1268,141.4,6.87
P07195,L-lactate dehydrogenase B chain OS=Homo sapiens GN=LDHB PE=1 SV=2 - [LDHB_HUMAN],54.19,2,20,21,472,1.123,24;168,6.7,1.285,24;168,5.7,1.168,24;168,4.4,1016.03 ,33.23,19,53,234.55 ,33.53,21,58,485.89 ,54.19,39,183,3386.19 ,52.10,29,178,334,36.6,6.05
Q9UBS9,SUN domain-containing ossification factor OS=Homo sapiens GN=SUCO PE=1 SV=1 - [SUCO_HUMAN],17.15,1,15,15,47,1.123,2;17,20.8,0.846,1;18,8.4,0.818,1;17,22.5,83.79 ,3.43,2,2,9.12 ,3.43,2,2,51.93 ,17.15,16,21,223.66 ,17.15,15,22,1254,139.3,5.01
P04075,Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2 - [ALDOA_HUMAN],93.96,1,27,35,1423,1.123,62;382,1.6,1.188,59;379,8.7,1.097,59;380,4.2,3926.38 ,67.86,43,173,752.96 ,64.56,42,200,1660.02 ,91.21,48,514,10814.80 ,87.09,39,536,364,39.4,8.09
Q4KMP7,TBC1 domain family member 10B OS=Homo sapiens GN=TBC1D10B PE=1 SV=3 - [TB10B_HUMAN],20.30,1,12,12,36,1.123,1;14,12.4,1.032,1;14,7.3,1.077,1;14,2.4,100.11 ,5.32,2,3,19.85 ,5.32,3,4,48.31 ,20.30,12,15,268.17 ,20.30,12,14,808,87.1,9.19
Q9UHP3,Ubiquitin carboxyl-terminal hydrolase 25 OS=Homo sapiens GN=USP25 PE=1 SV=4 - [UBP25_HUMAN],27.87,1,19,19,42,1.123,-;21,,1.051,-;21,,0.998,-;21,,,,,,3.96 ,1.90,1,1,65.83 ,26.54,19,21,352.25 ,25.59,17,20,1055,122.1,5.34
Q96RD7,Pannexin-1 OS=Homo sapiens GN=PANX1 PE=1 SV=4 - [PANX1_HUMAN],20.89,1,6,6,19,1.122,1;7,11.0,1.010,2;7,2.1,1.126,1;7,7.8,84.59 ,7.75,2,2,9.46 ,7.75,2,2,21.63 ,20.89,7,8,102.53 ,20.89,7,7,426,48.0,6.01
Q8N8D1,Programmed cell death protein 7 OS=Homo sapiens GN=PDCD7 PE=1 SV=1 - [PDCD7_HUMAN],11.13,1,4,4,8,1.122,-;4,,0.888,-;4,,1.046,-;4,,,,,,,,,,10.10 ,11.13,5,5,54.80 ,8.25,3,3,485,54.7,9.95
Q7Z7M0,Multiple epidermal growth factor-like domains protein 8 OS=Homo sapiens GN=MEGF8 PE=1 SV=2 - [MEGF8_HUMAN],2.92,1,6,6,9,1.122,-;6,,0.955,-;6,,0.930,-;6,,,,,,,,,,13.28 ,2.92,6,6,56.69 ,1.48,3,3,2845,302.9,6.87
Q08623,Pseudouridine-5'-monophosphatase OS=Homo sapiens GN=HDHD1 PE=1 SV=3 - [HDHD1_HUMAN],28.07,1,3,3,7,1.122,-;3,,1.319,-;3,,1.161,-;3,,,,,,2.24 ,9.65,1,1,9.64 ,28.07,3,3,104.92 ,28.07,3,3,228,25.2,5.31
P50583,Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical] OS=Homo sapiens GN=NUDT2 PE=1 SV=3 - [AP4A_HUMAN],46.94,1,4,4,11,1.122,-;4,,1.118,-;4,,1.029,-;4,,62.91 ,13.61,1,1,5.04 ,13.61,1,1,8.63 ,36.73,3,5,98.31 ,30.61,3,4,147,16.8,5.35
P12109,Collagen alpha-1(VI) chain OS=Homo sapiens GN=COL6A1 PE=1 SV=3 - [CO6A1_HUMAN],29.38,1,18,18,49,1.122,3;22,0.4,1.285,2;22,22.0,1.177,2;22,9.2,121.90 ,5.64,3,3,18.41 ,7.39,5,5,64.95 ,28.60,18,22,407.43 ,22.37,15,19,1028,108.5,5.43
P15586,N-acetylglucosamine-6-sulfatase OS=Homo sapiens GN=GNS PE=1 SV=3 - [GNS_HUMAN],37.86,1,17,17,91,1.122,9;32,4.9,1.158,9;32,4.3,1.138,9;32,4.8,350.40 ,16.85,11,15,74.49 ,16.85,12,17,92.11 ,35.69,18,30,492.89 ,35.87,17,29,552,62.0,8.31
P10644,cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Homo sapiens GN=PRKAR1A PE=1 SV=1 - [KAP0_HUMAN],43.31,1,13,16,96,1.122,4;29,4.8,1.197,4;29,15.3,1.166,4;29,11.5,146.38 ,13.65,8,12,49.45 ,13.65,10,15,90.97 ,41.21,20,36,386.77 ,37.53,16,33,381,43.0,5.35
Q96RR1,"Twinkle protein, mitochondrial OS=Homo sapiens GN=PEO1 PE=1 SV=1 - [PEO1_HUMAN]",16.67,1,7,7,18,1.122,-;8,,1.164,-;8,,1.255,-;8,,0.00 ,2.49,1,1,4.30 ,2.49,1,1,26.98 ,16.67,8,8,187.82 ,16.67,7,8,684,77.1,8.98
Q92608,Dedicator of cytokinesis protein 2 OS=Homo sapiens GN=DOCK2 PE=1 SV=2 - [DOCK2_HUMAN],7.10,1,9,9,19,1.122,1;7,73.3,1.164,1;7,59.4,1.087,1;7,67.1,,,,,3.28 ,0.49,1,1,19.63 ,6.61,8,11,18.82 ,4.59,7,7,1830,211.8,6.87
Q96ER9,Coiled-coil domain-containing protein 51 OS=Homo sapiens GN=CCDC51 PE=1 SV=2 - [CCD51_HUMAN],41.85,1,13,13,55,1.122,2;21,16.8,1.057,2;22,13.9,0.993,2;22,10.1,183.06 ,17.76,4,4,29.69 ,17.76,5,5,81.90 ,41.85,13,23,352.94 ,41.85,13,23,411,45.8,8.19
Q969F9,Hermansky-Pudlak syndrome 3 protein OS=Homo sapiens GN=HPS3 PE=1 SV=1 - [HPS3_HUMAN],36.16,1,23,24,54,1.122,-;25,,1.131,-;25,,1.108,-;25,,68.21 ,6.18,3,3,9.07 ,5.58,2,2,70.35 ,35.56,24,25,317.73 ,32.47,23,24,1004,113.7,6.43
P04637,Cellular tumor antigen p53 OS=Homo sapiens GN=TP53 PE=1 SV=4 - [P53_HUMAN],20.10,1,6,6,14,1.122,-;6,,1.211,-;6,,1.184,-;6,,,,,,,,,,15.39 ,20.10,6,7,66.84 ,20.10,6,7,393,43.6,6.79
Q13733,Sodium/potassium-transporting ATPase subunit alpha-4 OS=Homo sapiens GN=ATP1A4 PE=1 SV=3 - [AT1A4_HUMAN],11.56,1,1,11,108,1.121,-;1,,1.208,-;1,,1.220,-;1,,540.39 ,5.34,6,17,65.63 ,4.76,5,16,87.62 ,10.98,14,40,964.24 ,9.14,11,35,1029,114.1,6.64
Q9NPQ8,Synembryn-A OS=Homo sapiens GN=RIC8A PE=1 SV=3 - [RIC8A_HUMAN],60.26,1,22,24,122,1.121,5;43,3.7,1.174,5;43,7.7,0.999,5;43,10.7,177.73 ,16.01,9,12,51.58 ,14.88,10,12,143.60 ,54.24,26,52,579.50 ,53.30,23,46,531,59.7,5.33
Q13136,Liprin-alpha-1 OS=Homo sapiens GN=PPFIA1 PE=1 SV=1 - [LIPA1_HUMAN],39.68,2,27,37,112,1.121,6;36,2.8,0.973,6;36,3.5,1.096,6;36,2.5,294.59 ,9.15,12,13,49.17 ,9.15,14,14,137.84 ,36.61,35,41,850.76 ,37.77,35,44,1202,135.7,6.29
P78312,Protein FAM193A OS=Homo sapiens GN=FAM193A PE=1 SV=2 - [F193A_HUMAN],7.35,1,7,7,13,1.121,-;7,,1.160,-;7,,1.053,-;7,,,,,,,,,,17.10 ,7.35,8,8,83.76 ,5.77,5,5,1265,139.9,6.48
Q92623,Tetratricopeptide repeat protein 9A OS=Homo sapiens GN=TTC9 PE=2 SV=3 - [TTC9A_HUMAN],22.97,1,3,3,6,1.121,-;3,,1.565,-;3,,1.498,-;3,,,,,,,,,,7.14 ,22.97,3,3,59.54 ,22.97,3,3,222,24.4,8.98
Q9UL18,Protein argonaute-1 OS=Homo sapiens GN=AGO1 PE=1 SV=3 - [AGO1_HUMAN],27.42,2,10,18,50,1.121,-;13,,1.081,-;13,,1.092,-;13,,66.81 ,1.52,2,2,6.98 ,1.52,2,2,59.57 ,26.02,17,22,277.03 ,27.42,18,24,857,97.2,9.16
P30049,"ATP synthase subunit delta, mitochondrial OS=Homo sapiens GN=ATP5D PE=1 SV=2 - [ATPD_HUMAN]",61.90,1,4,5,33,1.121,1;11,6.1,0.912,1;11,1.8,0.983,1;11,4.3,52.26 ,29.76,4,4,8.43 ,26.19,3,4,32.51 ,58.33,4,14,287.46 ,34.52,3,11,168,17.5,5.49
Q7Z460,CLIP-associating protein 1 OS=Homo sapiens GN=CLASP1 PE=1 SV=1 - [CLAP1_HUMAN],30.17,1,36,38,127,1.121,8;45,8.9,1.082,8;45,2.4,1.105,8;45,0.5,197.00 ,7.35,14,14,52.16 ,7.35,16,16,127.80 ,26.79,34,47,879.53 ,28.48,36,50,1538,169.3,9.03
Q9H9Q4,Non-homologous end-joining factor 1 OS=Homo sapiens GN=NHEJ1 PE=1 SV=1 - [NHEJ1_HUMAN],37.12,1,5,5,18,1.121,2;5,0.2,1.331,1;5,3.4,1.215,2;5,4.2,114.57 ,15.05,2,2,12.71 ,15.05,2,2,11.06 ,30.77,4,8,54.96 ,22.07,3,6,299,33.3,5.97
Q8WXA3,RUN and FYVE domain-containing protein 2 OS=Homo sapiens GN=RUFY2 PE=1 SV=2 - [RUFY2_HUMAN],26.11,1,13,17,43,1.120,-;14,,1.006,-;14,,1.029,-;14,,43.76 ,5.04,5,5,19.06 ,7.94,6,6,51.88 ,21.07,14,16,169.03 ,21.98,15,16,655,75.0,6.51
Q96MH7,Uncharacterized protein C5orf34 OS=Homo sapiens GN=C5orf34 PE=2 SV=2 - [CE034_HUMAN],5.49,1,2,2,4,1.120,-;2,,0.810,-;2,,0.662,-;2,,,,,,,,,,4.22 ,5.49,2,2,0.00 ,5.49,2,2,638,72.9,7.93
O60281,Zinc finger protein 292 OS=Homo sapiens GN=ZNF292 PE=1 SV=3 - [ZN292_HUMAN],5.99,1,11,11,22,1.120,-;11,,1.009,-;11,,1.030,-;11,,,,,,,,,,30.82 ,5.99,13,13,121.86 ,4.37,9,9,2723,304.6,7.39
P30405,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial OS=Homo sapiens GN=PPIF PE=1 SV=1 - [PPIF_HUMAN]",63.77,1,11,13,119,1.120,7;40,1.9,1.106,7;40,1.2,1.148,7;40,6.6,191.96 ,34.78,13,15,52.14 ,31.88,11,15,123.65 ,60.39,15,46,754.32 ,60.87,13,43,207,22.0,9.38
Q9Y6G9,Cytoplasmic dynein 1 light intermediate chain 1 OS=Homo sapiens GN=DYNC1LI1 PE=1 SV=3 - [DC1L1_HUMAN],64.63,1,30,31,150,1.120,12;58,15.1,1.153,11;58,2.3,1.155,12;58,5.2,260.76 ,21.99,13,16,77.12 ,21.99,17,22,186.94 ,63.29,38,62,800.29 ,61.38,29,50,523,56.5,6.42
Q6ZN06,Zinc finger protein 813 OS=Homo sapiens GN=ZNF813 PE=2 SV=2 - [ZN813_HUMAN],28.53,39,2,7,20,1.120,-;1,,0.723,-;1,,0.705,-;1,,47.46 ,11.02,3,4,9.26 ,1.30,2,3,19.26 ,18.80,7,9,114.61 ,6.81,4,4,617,71.7,9.36
Q969U7,Proteasome assembly chaperone 2 OS=Homo sapiens GN=PSMG2 PE=1 SV=1 - [PSMG2_HUMAN],29.55,1,5,5,24,1.120,4;8,1.1,1.338,4;8,9.4,1.139,4;8,8.3,97.53 ,11.74,3,4,20.67 ,11.74,4,6,17.49 ,26.14,4,7,79.92 ,29.55,5,7,264,29.4,6.98
Q9HA47,Uridine-cytidine kinase 1 OS=Homo sapiens GN=UCK1 PE=1 SV=1 - [UCK1_HUMAN],7.58,1,1,2,7,1.120,-;1,,0.859,-;1,,0.806,-;1,,34.95 ,2.89,1,1,5.25 ,2.89,2,2,4.04 ,7.58,2,2,36.92 ,7.58,2,2,277,31.4,7.30
Q6ZUV0,Putative cytosolic acyl coenzyme A thioester hydrolase-like OS=Homo sapiens GN=ACOT7L PE=5 SV=1 - [BACHL_HUMAN],5.16,1,1,2,4,1.120,-;1,,1.001,-;1,,0.945,-;1,,,,,,,,,,2.36 ,5.16,3,3,0.00 ,2.78,1,1,252,28.1,7.15
Q969E8,Pre-rRNA-processing protein TSR2 homolog OS=Homo sapiens GN=TSR2 PE=1 SV=1 - [TSR2_HUMAN],26.18,1,3,3,16,1.120,-;8,,1.190,-;8,,1.224,-;8,,,,,,,,,,16.90 ,26.18,3,9,44.78 ,26.18,3,7,191,20.9,4.39
Q12768,WASH complex subunit strumpellin OS=Homo sapiens GN=KIAA0196 PE=1 SV=1 - [STRUM_HUMAN],45.90,2,41,41,155,1.120,16;54,8.5,1.022,17;54,3.7,1.073,16;54,2.2,267.09 ,18.55,18,19,95.61 ,18.03,26,27,160.64 ,41.59,38,56,619.33 ,42.45,36,53,1159,134.2,6.98
P30043,Flavin reductase (NADPH) OS=Homo sapiens GN=BLVRB PE=1 SV=3 - [BLVRB_HUMAN],66.99,1,9,9,86,1.120,10;26,8.6,1.158,10;26,8.1,0.994,10;26,0.3,238.22 ,49.03,10,16,72.82 ,49.03,12,19,74.26 ,66.99,10,26,509.27 ,66.99,9,25,206,22.1,7.65
O95674,Phosphatidate cytidylyltransferase 2 OS=Homo sapiens GN=CDS2 PE=1 SV=1 - [CDS2_HUMAN],11.91,1,2,3,10,1.120,-;4,,1.048,-;4,,1.194,-;4,,,,,,,,,,21.98 ,11.91,3,5,89.47 ,11.91,3,5,445,51.4,7.09
Q9H6H4,Receptor expression-enhancing protein 4 OS=Homo sapiens GN=REEP4 PE=1 SV=1 - [REEP4_HUMAN],25.68,1,4,5,17,1.120,2;4,3.7,1.161,2;4,11.4,1.146,2;4,5.3,91.97 ,12.84,4,4,16.83 ,12.84,4,4,14.47 ,19.84,4,4,139.99 ,25.68,5,5,257,29.4,9.73
Q5TAX3,Terminal uridylyltransferase 4 OS=Homo sapiens GN=ZCCHC11 PE=1 SV=3 - [TUT4_HUMAN],11.01,1,15,17,37,1.119,-;15,,1.200,-;15,,1.093,-;15,,,,,,,,,,43.03 ,10.58,16,20,289.53 ,10.28,15,17,1644,185.0,7.97
P60983,Glia maturation factor beta OS=Homo sapiens GN=GMFB PE=1 SV=2 - [GMFB_HUMAN],41.55,2,7,7,42,1.119,5;13,3.9,1.301,4;13,9.5,1.210,5;13,7.6,221.99 ,29.58,7,9,41.07 ,29.58,7,9,37.87 ,41.55,8,12,329.09 ,41.55,8,12,142,16.7,5.29
Q99638,Cell cycle checkpoint control protein RAD9A OS=Homo sapiens GN=RAD9A PE=1 SV=1 - [RAD9A_HUMAN],26.85,1,5,5,16,1.119,-;6,,0.993,-;6,,0.990,-;5,,30.40 ,4.35,1,1,3.81 ,4.35,1,1,16.76 ,26.85,5,7,55.83 ,19.69,4,7,391,42.5,5.66
Q6IPR3,tRNA wybutosine-synthesizing protein 3 homolog OS=Homo sapiens GN=TYW3 PE=2 SV=2 - [TYW3_HUMAN],22.39,1,4,4,9,1.119,-;6,,1.066,-;6,,0.999,-;6,,,,,,,,,,14.65 ,22.39,4,5,87.78 ,13.51,2,4,259,29.8,7.68
Q712K3,Ubiquitin-conjugating enzyme E2 R2 OS=Homo sapiens GN=UBE2R2 PE=1 SV=1 - [UB2R2_HUMAN],29.41,1,4,5,9,1.119,-;5,,1.031,-;5,,1.064,-;5,,0.00 ,3.36,1,1,4.26 ,3.36,2,2,8.80 ,23.11,3,4,0.00 ,8.40,2,2,238,27.1,4.42
Q8IY22,C-Maf-inducing protein OS=Homo sapiens GN=CMIP PE=1 SV=3 - [CMIP_HUMAN],20.05,1,8,8,42,1.119,1;13,0.4,1.154,1;13,8.9,1.220,1;13,9.6,48.85 ,2.59,1,1,7.26 ,2.59,2,2,34.08 ,20.05,9,20,109.70 ,20.05,9,19,773,86.3,6.70
